article,article_title,date_published,main_image
"Your face is often the first area of your body to begin to show your age. Some men and women get wrinkles as early as their late 20s and early 30s. There are a wide variety of  that can rejuvenate and restore your appearance. April is National Facial Protection Month, and our plastic surgeon in Central Florida can help restore damage caused by sun exposure and other elements over time. Dr. Hartog can give your looks a boost with one or more of our face procedures such as these three popular choices:Eyelid surgery, or , can be performed on your upper and lower eyelids to get rid of drooping eyelid skin and bags under your eyes. This procedure might be right for you if you struggle with looking tired when you’re well-rested and energetic. Sometimes a blepharoplasty is medically necessary to address sagging upper eyelids that have started to impact your vision by hanging over your eye.Lines on your forehead are sometimes the first signs of aging you notice on your face. These typically form due to genetics, stress or exaggerated facial expressions. This facial plastic surgery alleviates the tired look and treats frown lines and furrows between your eyebrows by loosening the muscles beneath your skin and removing fat. A  is often done in conjunction with eyelid surgery.In the past,  were criticized for giving men and women a noticeably frozen and stretched look, but plastic surgery has advanced in leaps and bounds in the last few decades. Dr. Hartog can reduce lines, wrinkles and other signs of aging on your face without giving the impression to your friends and coworkers that you’ve had work done. Your procedure can be paired with a blepharoplasty or chemical peel to further rejuvenate your looks.Other facelift variations we offer at our Florida plastic surgery office include:There are several other surgical and non-surgical options available to address signs of aging in the face such as BOTOX® Cosmetic, dermal fillers and Kybella, which treats double chins.If you struggle with looking tired and want to regain your youthful appearance, please contact Dr. Hartog in Winter Park today at to schedule your consultation. The Bougainvillea Clinique serves clients in Central Florida including Orlando and Winter Park. ",3 Facial Plastic Surgeries to Restore Your Youth,"April 24, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/facial-plastic-surgeries-to-restore-youth-orlando-plastic-surgeon_0-300x200.jpg
"The days and months following a mastectomy often involve a mix of emotions. You’ve beaten breast cancer, but a part of your femininity went with it. You’ve realized just how strong you are, but are also left with a permanent reminder of your struggles.  are a popular choice for women following a single or double mastectomy, but a growing trend is breast augmentation with , which can provide great results using your own fatty tissues.The fat transfer method of  is a safe and effective way to restore your breasts to their prime and give you back the confidence you had in your body prior to breast cancer. Fat is extracted from an area of your body with unwanted fat such as your thighs, buttocks or abdomen. The fat is then processed and inserted into your breasts. Our plastic surgeon uses the latest techniques to enhance fat survival.If you’ve had a single mastectomy, a fat transfer breast surgery may give you back some sensation as well as feel soft and similar to your remaining natural breast. This form of breast augmentation uses your own tissues to increase the size of your breasts instead of a saline or silicone implant (which are also safe, effective and extensively studied). The recovery time for this option is significantly less than the healing period required for breast implants. Additionally, the fatty tissue used for the procedure is taken from an area where you’ve likely struggled to tone or lose weight.If you’ve had a single or double mastectomy and are interested in breast reconstruction, please contact our board-certified plastic surgeon in Orlando today at to schedule your consultation. Bougainvillea Clinique serves clients in Orlando, Winter Park and surrounding Central Florida areas. ",Breast Augmentation with Fat After a Mastectomy,"May 10, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/breast-enhancement-fat-transfer-after-cancer-mastectomy_0-300x200.jpg
"The treatments and surgeries required to beat breast cancer are draining and often steal a part of a woman’s femininity and self-confidence. Breast reconstruction can restore your body image and help you feel like yourself again. However, many cancer survivors worry about breast cancer recurrence following a .A double mastectomy significantly lowers your risk of breast cancer coming back, though there’s a slight chance it can return in the remaining breast tissue. Similarly, a single mastectomy leaves the remaining breast at risk. These concerns are on the back of any breast cancer survivor’s mind and are why self-exams and regular mammograms are important.So, while it’s possible for breast cancer to return after a mastectomy, these chances aren’t increased simply because you have a breast reconstruction. Our board-certified plastic surgeon, Dr. Hartog, has a unique point of view when it comes to breast reconstruction after a mastectomy. His wife who is also our patient coordinator is a survivor herself, and a  helped her regain her confidence and restored her figure.Breast reconstruction can be done in a few ways and often involves breast implants, but Dr. Hartog specializes in restoring the breasts using the fat grafting method and uses the latest techniques to enhance fat survival. Excess fat in areas such as your thighs, stomach and buttocks is removed, processed and injected into your breasts to restore their shape and size. The final results often return some of the sensations lost during the mastectomy and provide a softness that feels just like a natural breast.The advantages of breast reconstruction with fat transfer include a faster recovery period and natural-looking results that don’t interfere with the necessary breast exams and mammograms required to keep the cancer at bay.If you’re interested in breast reconstruction, please contact Bougainvillea Clinique in Winter Park today at to schedule your consultation. We provide plastic surgery to clients throughout Central Florida including Orlando and Winter Park. ",Can Cancer Come Back After Breast Reconstruction?,"May 17, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/can-cancer-come-back-after-reconstruction-orlando-plastic-surgeon_0-299x226.jpg
"I have just returned from the 3rd Congress of the International Society for Plastic Regenerative Surgery in Miami. There, I got to present my own paper on the Lipoflap procedure, and to listen to a whole series of excellent presentations on this exciting emerging medical technology. There was more confirmation of the benefits of fat transfer for breast augmentation and breast reconstruction, but the really exciting news was the continuing flood of evidence promoting the use of fat related stem and regenrative cells.",Burn Scars and Wounds,"September 15, 2014",http://www.lookandfeelbetter.com
"Gynecomastia is the overdevelopment of breast tissue in men, which can cause the breasts to be uneven. Male breast enlargement often occurs during the pre-teen or teenage years due to hormones, but it can also happen to middle-aged men. In most cases, gynecomastia subsides after several months or years, but approximately 20 percent of men with gynecomastia require some form of treatment to relieve symptoms such as male .Male breast enlargement in adolescents is typically caused by hormonal changes, but gynecomastia can also be due to:Breast reduction for men with gynecomastia involves removing the excess breast tissue and fat cells to give you a flatter breast contour. In some instances,  is used to restore a masculine appearance. Your health insurance provider may even cover the cost of your procedure depending on the length of time you’ve struggled with the condition and the extent of your discomfort. June is Men’s Health Month, and our plastic surgeon can answer any of your gynecomastia questions during your consultation at our Winter Park office.If you have enlarged male breasts, please contact Dr. Hartog in Florida today at to schedule your initial consultation. The Bougainvillea Clinique Cosmetic Surgery and Medical Day Spa serves clients throughout Central Florida including Orlando and Winter Park. ",Breast Reduction for Men with Gynecomastia,"June 30, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/breast-reduction-for-men-orlando-plastic-surgeon-301x225.jpg
"The traditional approach to facial aging was to simply tighten facial skin with procedures such as faclifts and browlifts. However over the last 10-15 years, it has become increasingly accepted that the main component of facial aging is the loss of facial volume, particularly in the emples and around the eyes, and also in the cheeks, jaws and around the mouth. In fact, it can be shown that as we age, all areas of the face lose volume.",Petapixel,"November 30, 2016",http://www.lookandfeelbetter.com
"The traditional approach to facial aging was to simply tighten facial skin with procedures such as faclifts and browlifts. However over the last 10-15 years, it has become increasingly accepted that the main component of facial aging is the loss of facial volume, particularly in the emples and around the eyes, and also in the cheeks, jaws and around the mouth. In fact, it can be shown that as we age, all areas of the face lose volume.",Facial Volume Loss,"November 30, 2016",http://www.lookandfeelbetter.com
"You may have heard recent media reports regarding breast implants and a rare form of cancer. The FDA recently updated information regarding this disease (Breast Implant Associated-Anaplastic Large Cell Lymphoma (BIA-ALCL)). The American Society of Plastic Surgeons is working closely with the FDA in monitoring the disease.BIA-ALCL is not a breast cancer, but a rare and treatable T-cell lymphoma that usually develops as a fluid swelling around breast implants. ",Breast Implant Associated-Anaplastic Large Cell Lymphoma,"March 24, 2017",http://www.lookandfeelbetter.com
"I have just returned from Amsterdam, where I attended the International Federation for Adipose Therapeutics and Science (IFATS) Annual Meeting. Fat transfer and the use of fat derived stem cells continue to have more and more applications. There were a number of excellent papers on already well accepted uses of fat transfer such as facial rejuvenation, breast augmentation and breast reconstruction. The long term stability of fat transfer in these areas was confirmed in numerous studies that were presented. The Bougainvillea Clinique is still the only cosmetic surgery facility in the Orlando area to offer the Vectra 3-D Computer Imaging system. As an advanced user we have just been authorised to install the latest version of the software before it is realised to other doctors, and we are more impressed than ever. The list of procedures that we can now provide consultation for with 3-D imaging  continue to expand. The latest additions of the software now provide advanced 3-D prediction for breast lift as well as facial fillers.As you may know by now, we are very passionate about fat grafting at The Bougainvillea Clinique. The BRAVA® System is an essential piece of the fat grafting puzzle. It's just as important as the actual grafting portion. Brava helps ""till the soil"" as Dr. Hartog likes to say. It creates space in the breast tissues, which in turn allows for more fat to be grafted once. Additionally, a higher percentage of fat will live or ""take"" when BRAVA is used. To such a degree that we are now making it mandatory to use it for all breast augmentation and reconstruction patients. I have just returned from Berlin where I attended the 2nd International Society for Plastic Regenerative Surgery (ISPRES) where I presented my experience using . The meeting was extremely well attended with presentations and discussions on the expanding field of fat transfer for all aspects of cosmetic and reconstructive surgery.",Breast Augmentation,"November 21, 2014",http://www.lookandfeelbetter.com
"Are you bothered by a double chin or excessive fullness in the neck area? I have just returned from Chicago where I completed training in the Kybella procedure and was also chosen to act as a speaker for the company as it is introduced to other doctors. Kybella is the first FDA approved injectable product that can be used to melt fat and reduce a double chin. The procedure is a non-surgical option that can be used instead of submental liposuction to reduce the fullness in the area under the chin, an area that many men and women are subconscious about.",deoxycholic acid,"July 19, 2015",http://www.lookandfeelbetter.com
,breast implants,"March 5, 2013",http://www.lookandfeelbetter.com
"The Bougainvillea Clinique is still the only cosmetic surgery facility in the Orlando area to offer the Vectra 3-D Computer Imaging system. As an advanced user we have just been authorised to install the latest version of the software before it is realised to other doctors, and we are more impressed than ever. The list of procedures that we can now provide consultation for with 3-D imaging  continue to expand. The latest additions of the software now provide advanced 3-D prediction for breast lift as well as facial fillers.",chin enhancement,"November 1, 2013",http://www.lookandfeelbetter.com
"You may have heard recent media reports regarding breast implants and a rare form of cancer. The FDA recently updated information regarding this disease (Breast Implant Associated-Anaplastic Large Cell Lymphoma (BIA-ALCL)). The American Society of Plastic Surgeons is working closely with the FDA in monitoring the disease.BIA-ALCL is not a breast cancer, but a rare and treatable T-cell lymphoma that usually develops as a fluid swelling around breast implants. ",BIA-ALCL,"March 24, 2017",http://www.lookandfeelbetter.com
"Obagi Medical Products is a medical grade skin care system that is dispensed by physician managed practices. Why medical grade products? There are countless lines out there with countless promises. However, only medical grade products, overseen by a physicians office, have strong active ingredients to combat the aging process. In the same manner as prescribed medicine. Obagi is in essence medicine for your skin. With any medication, it needs to be managed and treated with proper dosage. This can only be done in a proper facility to ensure maximum results.",Obagi NuDerm,"January 30, 2013",http://www.lookandfeelbetter.com
"With every New Year come new trends in fashion, health and beauty. I'm breaking down the total ""must-haves"" in cosmetic procedures that use the latest techniques, accessories and technologies. 2013 is definitely YOUR year to look and feel your best! ",Vasersmooth,"February 5, 2013",http://www.lookandfeelbetter.com
"Obagi Medical Products is a medical grade skin care system that is dispensed by physician managed practices. Why medical grade products? There are countless lines out there with countless promises. However, only medical grade products, overseen by a physicians office, have strong active ingredients to combat the aging process. In the same manner as prescribed medicine. Obagi is in essence medicine for your skin. With any medication, it needs to be managed and treated with proper dosage. This can only be done in a proper facility to ensure maximum results.",skin care,"January 30, 2013",http://www.lookandfeelbetter.com
"Obagi Medical Products is a medical grade skin care system that is dispensed by physician managed practices. Why medical grade products? There are countless lines out there with countless promises. However, only medical grade products, overseen by a physicians office, have strong active ingredients to combat the aging process. In the same manner as prescribed medicine. Obagi is in essence medicine for your skin. With any medication, it needs to be managed and treated with proper dosage. This can only be done in a proper facility to ensure maximum results.",Obagi,"January 30, 2013",http://www.lookandfeelbetter.com
"With every New Year come new trends in fashion, health and beauty. I'm breaking down the total ""must-haves"" in cosmetic procedures that use the latest techniques, accessories and technologies. 2013 is definitely YOUR year to look and feel your best! ",scarless breast lifts,"February 5, 2013",http://www.lookandfeelbetter.com
"With every New Year come new trends in fashion, health and beauty. I'm breaking down the total ""must-haves"" in cosmetic procedures that use the latest techniques, accessories and technologies. 2013 is definitely YOUR year to look and feel your best! ",plastic surgery trends,"February 5, 2013",http://www.lookandfeelbetter.com
,scarless breast surgery,"January 16, 2013",http://www.lookandfeelbetter.com
,dermafrac,"January 16, 2013",http://www.lookandfeelbetter.com
"The traditional approach to facial aging was to simply tighten facial skin with procedures such as faclifts and browlifts. However over the last 10-15 years, it has become increasingly accepted that the main component of facial aging is the loss of facial volume, particularly in the emples and around the eyes, and also in the cheeks, jaws and around the mouth. In fact, it can be shown that as we age, all areas of the face lose volume. ",sculptra,"November 30, 2016",http://www.lookandfeelbetter.com
"As cooler weather approaches (by Orlando standards anyway), we tend to see more facial patients as people aren’t in the sun as much. This time of year is great for having a variety of face procedures like: Facelift, Blepharoplasty, Brow Lift, Neck Lift etc…But that begs the question, “what is a facelift?” Now with all the slick t.v. commercials and print ads for certain types of lifts, it can become very confusing for prospective patients. Each person is so different that there isn’t necessarily a “one size” fits all approach.",Winter Park Cosmetic Surgery,"November 5, 2012",http://www.lookandfeelbetter.com
 ,prevelle,"March 28, 2013",http://www.lookandfeelbetter.com
Different doctors and practices will have their own approach to what a patient should weigh and/or body mass index be prior to surgery. There are no strict hard fast rules but for optimal results weight should be stable. Liposuction and abdominoplasty should never be viewed as weight loss procedures. While the two have very different goals and provide wonderful results it doesn’t mean the scale will move drastically.,body mass index,"March 19, 2013",http://www.lookandfeelbetter.com
 ,juverderm,"March 28, 2013",http://www.lookandfeelbetter.com
,male breasts,"April 9, 2013",http://www.lookandfeelbetter.com
"With every New Year come new trends in fashion, health and beauty. I'm breaking down the total ""must-haves"" in cosmetic procedures that use the latest techniques, accessories and technologies. 2013 is definitely YOUR year to look and feel your best! ",liquid facelifts,"February 5, 2013",http://www.lookandfeelbetter.com
,gynecomastia,"April 9, 2013",http://www.lookandfeelbetter.com
,The Swan,"February 12, 2013",http://www.lookandfeelbetter.com
,reality tv,"February 12, 2013",http://www.lookandfeelbetter.com
,plastic surgery reality tv,"February 12, 2013",http://www.lookandfeelbetter.com
,Fox,"February 12, 2013",http://www.lookandfeelbetter.com
"Ever since liposuction was introduced as a body contouring procedure we have witnessed an ever increasing number of terms describing the procedure and now again we are seeing a similar explosion of terminology related to fat grafting. In the liposuction arena, we have liposuction, liposculpture, Vaser Lipo, Aqualipo (Body-Jet) and Tickle Lipo, just to name a few. Broadly speaking there are not nearly as many differences between the procedures as marketers would have you believe, they all involve removal of fat through some sort of vacuum device.",BRAVA®+AFT,"February 15, 2013",http://www.lookandfeelbetter.com
"Ever since liposuction was introduced as a body contouring procedure we have witnessed an ever increasing number of terms describing the procedure and now again we are seeing a similar explosion of terminology related to fat grafting. In the liposuction arena, we have liposuction, liposculpture, Vaser Lipo, Aqualipo (Body-Jet) and Tickle Lipo, just to name a few. Broadly speaking there are not nearly as many differences between the procedures as marketers would have you believe, they all involve removal of fat through some sort of vacuum device.",Aqualipo,"February 15, 2013",http://www.lookandfeelbetter.com
"Ever since liposuction was introduced as a body contouring procedure we have witnessed an ever increasing number of terms describing the procedure and now again we are seeing a similar explosion of terminology related to fat grafting. In the liposuction arena, we have liposuction, liposculpture, Vaser Lipo, Aqualipo (Body-Jet) and Tickle Lipo, just to name a few. Broadly speaking there are not nearly as many differences between the procedures as marketers would have you believe, they all involve removal of fat through some sort of vacuum device.",AFT,"February 15, 2013",http://www.lookandfeelbetter.com
,social media,"February 21, 2013",http://www.lookandfeelbetter.com
,plastic surgery,"February 21, 2013",http://www.lookandfeelbetter.com
,Las Vegas Review-Journal,"February 21, 2013",http://www.lookandfeelbetter.com
,saline implants,"March 5, 2013",http://www.lookandfeelbetter.com
"The traditional approach to facial aging was to simply tighten facial skin with procedures such as faclifts and browlifts. However over the last 10-15 years, it has become increasingly accepted that the main component of facial aging is the loss of facial volume, particularly in the emples and around the eyes, and also in the cheeks, jaws and around the mouth. In fact, it can be shown that as we age, all areas of the face lose volume. Great deals now through Satuday ONLY! Michelle and Liz will be on holiday next week so now is the time to strike while the needle is hot! Juvederm will plump lips and fill in pesky smile lines. Botox will relax the muscles that help create wrinkles by the eyes and on the forehead. Let's get our smooth face on! Call today for your appointment!",radiesse,"November 30, 2016",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/Screen%20shot%202013-02-21%20at%206.05.31%20PM_0.png
,Dr. Hartog,"March 5, 2013",http://www.lookandfeelbetter.com
"As cooler weather approaches (by Orlando standards anyway), we tend to see more facial patients as people aren’t in the sun as much. This time of year is great for having a variety of face procedures like: Facelift, Blepharoplasty, Brow Lift, Neck Lift etc…But that begs the question, “what is a facelift?” Now with all the slick t.v. commercials and print ads for certain types of lifts, it can become very confusing for prospective patients. Each person is so different that there isn’t necessarily a “one size” fits all approach.",Board Certified Doctor,"November 5, 2012",http://www.lookandfeelbetter.com
,silicone implants,"March 5, 2013",http://www.lookandfeelbetter.com
"As cooler weather approaches (by Orlando standards anyway), we tend to see more facial patients as people aren’t in the sun as much. This time of year is great for having a variety of face procedures like: Facelift, Blepharoplasty, Brow Lift, Neck Lift etc…But that begs the question, “what is a facelift?” Now with all the slick t.v. commercials and print ads for certain types of lifts, it can become very confusing for prospective patients. Each person is so different that there isn’t necessarily a “one size” fits all approach.",Orlando Cosmetic Surgery,"November 5, 2012",http://www.lookandfeelbetter.com
 ,fillers,"January 3, 2013",http://www.lookandfeelbetter.com
"Below is a wonderful article on counterfeit Botox. Every single day we get asked by our patients and people seeking Botox treatment why aren't our prices as low as some of the daily discount sites. There is no question when comparing our office to deeply discounted Botox offices that it's like comparing an apple to a sock. We only sell Botox Cosmetic that comes directly from Allergan, the makers of Botox. We do, have not and will never use a second party distributor for any of our injectables.","Allergan,Congratulations to Latisse for celebrating 5 YEARS of making lashes more beautiful!, ","April 29, 2013",http://www.lookandfeelbetter.com
"Below is a wonderful article on counterfeit Botox. Every single day we get asked by our patients and people seeking Botox treatment why aren't our prices as low as some of the daily discount sites. There is no question when comparing our office to deeply discounted Botox offices that it's like comparing an apple to a sock. We only sell Botox Cosmetic that comes directly from Allergan, the makers of Botox. We do, have not and will never use a second party distributor for any of our injectables.",Wall Street Journal,"December 26, 2012",http://www.lookandfeelbetter.com
 ,lip enhancement,"January 3, 2013",http://www.lookandfeelbetter.com
,"eyelashes,Congratulations to Latisse for celebrating 5 YEARS of making lashes more beautiful!, ","April 29, 2013",http://www.lookandfeelbetter.com
