article,article_title,category,date_published,main_image
,Top 5 Facial Rejuvenation Options For Your Summer Skin Renewal,"Blog,News,Specials","May 22, 2015",
,Celebrate Safely With These Fireworks Safety Tips,"Blog,News","July 3, 2017",
 138Myth: Cosmetic surgery and plastic surgery are one and the same.Related: Myth: Breast augmentation will fix droopy breasts.Myth: Liposuction is an easy way to lose weight.Myth: Liposuction removes cellulite.Myth: Botox® will leave you expressionless by freezing your facial muscles.Myth: Plastic surgery is mainly for women. +1,Plastic Surgery Myths vs. Facts,"Blog,News,Patient Safety","July 6, 2015,February 27, 2018 / 3:28 am",
"The nature of life is such that one day you could be walking down the street at the top of your game, and the next you could be attacked by a dog that broke loose from a yard — and suddenly you’re living in the shadows, too embarrassed to be seen in public.Plastic surgery isn’t always about fundamentally changing a person’s characteristics as the media would lead you to believe. Sometimes it’s about re-creating what has been lost and helping a person restore their sense of self-confidence and dignity after a traumatic experience.There is something symbolic about helping victims of crime or accidents restore their bodies, while also healing the anxieties, frustrations and emotional scars. Truly remarkable reconstructive work is a combination of skill, experience and artistry – and, as a triple-board-certified Tampa plastic surgeon,  possesses all three. He received board certification from the American Board of Plastic and Reconstructive Surgeons, as well as the  in: Plastic and Reconstructive Surgery, General Surgery and Micro-Hand Surgery.5 Types of Reconstructive Surgery Available At Tampa Bay Plastic SurgeryHere is more information on a few of his specialties:Hand SurgeryHand surgeries are one of the most common types of reconstructive surgery, with about 100,000 procedures done a year. A reconstructive surgeon often has to repair broken bones and torn tendons or ligaments, release trapped nerves, address joint degeneration, and reattach missing fingers. Since participating in a one-year fellowship at the world-renowned Columbia-Presbyterian Hospital, Dr. David Halpern has been part of the on-call “complex hand trauma team” at Tampa General Hospital for over 15 years.Laceration RepairMore than 100,000 laceration repairs are done in America following blunt trauma or cuts from sharp objects. These surgeries are most commonly performed on the face, scalp and hands. Deep cuts that can’t be healed with bandages are treated surgically with sutures. Sometimes the cuts go beyond superficial skin with the need for deep repair of tendons, nerves, muscle and bone. Dr. Halpern regularly attends advanced training sessions in the latest tissue regeneration and skin grafting techniques.Reattachment SurgeryThe reattachment of severed fingers, toes, hands, feet, arms and legs requires repair of bones, soft tissues, nerves, arteries, veins and blood vessels. Injuries from military combat, workplace accidents involving heavy machinery, or motor vehicle crashes are common cause for lost limbs. Cancer and birth defects are other reasons to require reattachment surgery. Timing is crucial in these cases. Ideally, Dr. David Halpern likes to see patients within six hours of the traumatic incident. While the replanted part will never be 100%, the goal of reattachment surgery is to restore as much use as possible, with 60-80% functionality considered a favorable result.Facial Reconstructive SurgeryAbout 90,000 facial reconstructive surgeries are done to the head and neck each year. Facial surgery may be necessary due to trauma, disease, violence, athletic injuries, motor vehicle accidents, old scars that healed improperly, or congenital deformities like cleft lip and palate. The brain, eye, spinal cord and jaw may be affected as well. Since so much is at stake with scarring, nerve damage, tear or salivary duct injury possible, it is important you see a true expert in human anatomy. Dr. David Halpern traveled to Haitiafter the 2010 earthquake and performed 100 pro bono surgeries in one week to treat acute trauma, burns, gunshot wounds, tumors, and cleft lip/palate deformities.Dog Bite SurgeryDog bites land 800,000 Americans in the emergency room each year. The rate of infection is 15 times greater due to the amount of bacteria in a dog’s mouth that penetrates directly to deep tissues. Surgical repair requires removal of contaminated, injured tissue, thorough irrigation with saline and antibiotic solution, suturing, skin grafting, and advanced scar minimizing techniques.A Reconstructive Surgeon In Tampa You Can TrustDon’t leave your recovery to chance with any old surgeon. Come see the very best. Dr. David Halpern has been serving patients in the Hyde Park area of South Tampa, Florida with compassion since 1999. He is a current member in good standing of the following professional associations:Fellow, American College of Surgeonsillsborough County Medical Association**",Beyond Cosmetic: 5 Types of Reconstructive Surgery Available At Tampa Bay Plastic Surgery,"Blog,News,Reconstruction Surgery","October 13, 2016",
" 89This year, South Tampa was ranked one of “The 10 Sexiest Neighborhoods in America” by . According to the editors, Tampa is full of “the hottest young people in Florida” who don’t want to live in Miami. As you know, people aren’t always born sexy… nor do they remain that way throughout all the stages of life. Many local residents come to renowned plastic surgeons like Dr. David Halpern to have maintenance work done. Wondering what the top sellers are? The top four plastic surgery procedures requested in his South Tampa office include:Breast AugmentationDr. David Halpern has performed thousands of successful breast augmentation surgeries over the past 15 years. Breast augmentation is done to enhance the volume of the breast and is sometimes done alongside a breast lift, which combats sagging related to age or childbearing by tightening the skin around the breasts to lift them higher. There are essentially three types of augmentation: conventional saline implants, newer gel “gummy” style implants (like Allergan’s Natrelle), and fat transfer using one’s own fat. The type of procedure done depends upon the condition of the breast and the desired look, which can be determined through a confidential patient consultation. The results are immediately visible and the recovery time is a short two weeks. Get more information on breast augmentation here.LiposuctionLiposuction body contouring has come a long way in recent years. Dr. David Halpern is current with all the latest techniques to provide amazing results in the abs, butt, hips, thighs, neck, arms, chin, cheeks, knees, calves and ankles. He may use the tumescent technique, which infuses targeted fat cells with saline and anesthetic for easy removal, or ultrasound-assisted liposuction, which uses a probe and lasers to quickly liquefies fat cells, especially in larger, more fibrous areas. The LiLa Strawberry Laser is another revolutionary technology employed by Dr. David Halpern to melt 1-3 inches of fat from a patient using only lasers. Some patients combine liposuction with other procedures like the Brazilian Butt Lift, Breast Augmentation or Facelift to restore missing volume in all the right places. Get more information on liposuction here or learn more about Tummy TuckOften, diet and exercise are simply not enough to remove pockets of persistent abdominal fat such as “love handles” and lower belly “pouches.” A tummy tuck procedure removes excess skin and fat from the abdomen, in addition to tightening muscle fascia like an internal corset, for full contouring that restores a more youthful, attractive body shape. It is done in about 2-4 hours under general anesthesia with a quick two-week recovery and results evident within a few months when swelling subsides completely. Candidates include people who have lost a lot of weight, those who have become more sedentary due to injury, and mothers who are done having children. Men come in asking about abdominoplasty as the final missing link to restore their body image after improving muscle tone in other areas. Often, the tummy tuck is combined with other procedures like liposuction and breast augmentation. Get more information on tummy tucks.RhinoplastyThe nose is a unique, yet prominent, facial feature. Changing this one aspect of the face often has dramatic results that boost self-esteem considerably when done by a true artist like Dr. David Halpern. He has helped transform hundreds of noses to enhance Tampa Bay patients’ natural beauty. During this procedure, cartilage and bone are reconstructed through tiny incisions within the nostrils, under general anesthesia. Twilight anesthesia may be used for mild reshaping procedures focused on just the tip of the nose. Most people are back to work in 7-10 days and are enjoying their new look a month later. Some patients get rhinoplasty done in conjunction with facelifts or skin resurfacing work. Get more information on rhinoplasty in Tampa, FL.Why Dr. David Halpern? has been one of the leading plastic surgeons in the Tampa Bay area since 1999. His triple board certification (in general surgery, plastic surgery and micro hand surgery) sets him apart from the competition. He is currently the Chief of Plastic Surgery at  and an associate clinical professor in plastic surgery at the University of South Florida, and maintains active membership in eight professional organizations like the ASPS and the Florida Medical Association. Dr. David Halpern has appeared on programs like “The Doctors” and “The Rachael Ray Show” to discuss the latest industry advancements like Strawberry Laser body contouring. For compassionate care and a consultation to learn more about the most popular plastic surgery procedures in Tampa, fill out a consultation form here or call   +1",Popular Plastic Surgery Procedures in Tampa,"Blog,News","August 4, 2015",
 or fill out the form below.*,Dr. David Halpern Named Top Plastic Surgeon in Tampa Bay,"Blog,Dr. David Halpern,News","December 12, 2016",
"Though the number of breast augmentations dropped 1 percent last year, it was still the #1 plastic surgery procedure in the United States with 286,254 successful operations performed. Today’s implants come in saline or silicone gel, with the new “gummy bear” silicone implants quickly growing in popularity for their excellent results and safety profile. At RealSelf, You may be one step closer to having the procedure done yourself, but are held back by one of these misconceptions.  exposes common myths and illuminates the truth about .Most women get breast implants to have big racks and attract mates. Some women worry about what others will think of them if they get implants. Images of Pamela Anderson and Heidi Montag may immediately come to mind when you think of breast augmentation, but these busty, high profile women are in the minority. The biggest demographic for breast augmentation procedures are women who are married with two kids and an average age of 34. Breasts are comprised of fat and connective tissues, so the most popular way to replace lost volume related to childbearing is to get implants. Women do not always opt for bigger breasts. Many are just replacing the volume that has been lost and get the added benefit of a lift with them. In Florida, women do tend to go more toward C or D cups, but Dr. David Halpern works with each individual patient to determine which size and shape will best complement the woman’s physique.   We use pictures that the patient brings in to assist with meeting their personal goals and to ensure good communication between Dr. Halpern and the patient.A “C” cup is the ideal standard for breast implants.Women come in all shapes and sizes – from AAA to KK and beyond. Women’s breasts are getting bigger over time. Within the last five years, the average bra size has gone from 36C to 36DD. Many women come in asking for a specific cup size, but that measure can be misleading because different lingerie manufacturers have slightly different size standards. It’s also difficult to predict the precise cup size following a reduction or augmentation due to the shape of the breast. Breast implants are measured by cubic centimeter and are selected based on patient height, width and proportions. Some doctors use  imaging to give patients a better idea of what the enhanced size may look like on the body. Dr. David Halpern will work with you to find the right proportions. The best time to get a breast augmentation is after the breasts are done growing in my teens.There is no standard age for having breast augmentation surgery. The perfect time can range from 18 to 50, depending on how you feel about your figure. Development has little to do with the equation. While a woman’s skeletal system may finish growing sometime in her teenage years, a woman’s breasts continue to develop through her mid-twenties and continue to change all the way through menopause! Some women develop their breasts as early as 8-12 years of age, while others may be late bloomers. Sometimes the breasts appear pointy before they fill out or one breast seems to develop faster than the other – and all that is perfectly normal. In 2013, more than 8,234 saline breast augmentations were performed on 18-to-19-year-olds. To receive silicone implants, the FDA requires women to be at least 22 years of age, since this newer type of implant has not been clinically tested or cleared for routine use  in younger women.Breast augmentation will make my breasts perkier and younger looking.Enhance the contour of a small breastRestore lost volume related to weight loss or pregnancyAchieve better symmetry for disproportionate sizes and shapesImprove the feel of breasts that have lost firmness over timeProvide the foundation of breast contour following cancer removalCorrect congenitally disfigured, asymmetric or injured breastsI won’t be able to breastfeed my baby if I get breast implants.If you plan to have a baby within the next year or so, it would be wise to postpone implant surgery. However, if you want to get implants now and decide to have children down the road, there will be no consequence as far as breastfeeding is concerned. (You may just need an additional lift later on if the breast tissue stretches or shrinks considerably during and after your pregnancy!)There are many ways to approach breast augmentation. Any “horror stories” you may hear are likely related to subglandular procedures where the nerves or glands were somehow damaged. By contrast, Dr. David Halpern uses a different technique that places implants under the breast crease or near the armpit and thus avoiding nipple incisions. As the International Breastfeeding Centre of Canada states: “There is no evidence that breastfeeding with silicone implants is harmful to the baby.” As long as the operation is not done through the areola, there will be no problems with milk supply or letdown.Breast implants need to be replaced every 10 years.Nearly every patient has heard this rumor. However, there are many women who have had implants placed 30 years ago who are still just as happy with their results. The shelf life of breast implants is typically 10 to 15 years, but that is by no means an “expiration date.” There is no need for “maintenance” if you are still pleased with your implants after that time.About 20-40 percent of women will opt for an additional procedure years down the road to adjust the size or get a lift. After all, breast augmentation cannot compensate for genetics, environmental factors like sun exposure, or the natural effects of aging. Dr. David Halpern asks that all patients come back in for a checkup at regular intervals to ensure their continued satisfaction.Silicone breast implants often rupture and may cause cancer.There have been a select number of sensationally reported implant rupture cases, but they are the exception rather than the rule. FDA studies concluded that the rate of rupture was 10.1% for Allergan implants after 10 years and 13.6% for Mentor implants after 8 years. Three-quarters of these cases were symptomatic and addressed before an actual rupture occurred. Today’s implants are tested to withstand 25 times the force of a standard mammogram without failure, so you will still be able to have regular screenings without worry. As Skin Mag Online reports, “Silicone gel implants are among the most studied medical devices with well-proven safety records. Numerous studies have shown that there’s no evidence linking medical silicone to cancer, neurological disease or connective tissue disorders.”Breast augmentation surgery is very painful and I’ll need a lot of time off work.The surgery itself is done in 1-2 hours, as an outpatient procedure, under general anesthesia, so you’ll need someone to drive you home afterward but you won’t feel a thing. While individual pain tolerance levels vary, when done correctly, breast augmentation procedure recovery causes only mild discomfort for a day or two. Dr. David Halpern occasionally uses Exparel — a breakthrough, non-narcotic local anesthetic that provides 48 hours of pain relief – as well as gentle, minimally traumatic surgical techniques to get you back to a normal, non-strenuous routine within a day, without the need for pain medications like Vicodin or Percocet. Patients are generally back to work in 4-7 days. Three weeks after surgery, you’ll be able to do lower body exercises, walk and ride a stationary bike. By six weeks, most women are comfortable enough to resume arm and chest exercises as well as running (usually unrestricted at that time).Breast augmentation results are visible immediately.During breast augmentation surgery, the muscles react by tightening, which causes the resting position to be a little higher than normal. The chest tissue will look a little swollen. Depending on the patient, true results are visible approximately 8-12 weeks after surgery when swelling completely subsides and the breasts settle into a more natural position. For this reason, Dr. David Halpern recommends that patients plan their breast augmentation procedure well in advance of a major event like a wedding, pageant, milestone reunion or other special occasion.Breast implants are obviously fake and everyone will be able to tell.Obviously, hundreds of thousands of women would not be electing to have this surgery done if the implants did not look and feel real. Modern implants have come a long way in shape and texture. Choosing a board-certified plastic surgeon like Dr. David Halpern will help you get the natural look that best fits your body type. The initial shape, size, volume and symmetry of the patient’s natural breasts.The experience, skill level and certifications of the surgeon attending to you.The type of implant specially selected for shape, size and texture.The way and level the implants are filled or positioned. Bigger breasts will give me the perfect body.Having realistic expectations prior to breast augmentation surgery is just as important as the decision to have the procedure done at all. Unless you’re having corrective work done or a lift, breast augmentation will merely accentuate and enhance what you already have. A larger bust can make your waist appear smaller and your hips look more shapely, but it will not get rid of cellulite or give you a Victoria’s Secret model body.  is happy to discuss any additional procedures to help you reach your ideal standards of beauty, but keep in mind that happiness ultimately comes from within. ",11 Breast Augmentation Facts & Myths,"Blog,News","October 20, 2015,April 05, 2018 / 11:33 pm",
"The holidays have their way of sneaking up on us. With all the shopping, baking and festivities, it’s easy to appear more run-down and ragged than you’d like. You may be running around like a superhero, but the bags under your eyes, dry skin, and deep wrinkles tell a different story. Fortunately, there are a number of minimally-invasiveskin treatments and injections that can rejuvenate your face, so you’re glowing when you greet family and friends at all your winter parties.: Nordlys by Ellipse is a revolutionary new laser that uses heat to stimulate new cell growth and remove unwanted hair. It has been referred to as “Scandinavia’s best-kept aesthetic secret”, as it enjoyed great popularity in Europe before its debut in America. Dr. David Halpern is able to target a very specific area for treatment, while leaving surrounding tissues untouched. This quick, painless treatment produces smoother, brighter, younger skin that can last for many years.6 Ellipse treatments at $1500.00 $1200.00 Savings!Dysport is another type of injection that temporarily paralyzes the overactive muscles responsible for unwanted wrinkles. According topatient surveys, 30% of patients noticed the effects within a day, rather than the week it takes for Botox, and 83% of patients said they still had diminished frown lines three months following their Dysport injections and 65% of Dysport patients treated for crow’s feet noted a long-term difference.  In addition to offering injections that reduce muscle spasms, Dr. David Halpern also offers a full selection of dermal fillers made of naturally derived substances in the body that can smooth out wrinkles and trigger the body’s natural healing processes for smoother, more radiant-looking skin. Depending on your needs, Dr. Halpern may recommend:Sculptra – Buy one vial for $800.00 and get second vial for $600.00.Radiesse – Buy 1.5ml for $675.00 and get second for $525.00Belotero – Buy 1ml for $550.00 get second for $275.00PerlaneRestylaneRestylane SilkThe effects can last anywhere from six months to five years, depending on which filler you choose.A Botox injection, derived from a harmless amount of the bacterial toxin botulin, temporarily stops unnecessary muscle contractions to prevent wrinkle formation and soften the appearance of existing wrinkles. The results are visible within a week and generally last 3-4 months.: Facial peels use a chemical that removes the dull, damaged outermost layer of skin. A variety of peels are available, including glycolic peels, lactic or salicylic acid peels, Jessner, VI-PEEL and others. Dr. David Halpern will discuss which products may best suit your needs. It can also be done in combination with microdermabrasion or other treatments.: A gentle 30-minute procedure scrubs away dead, unhealthy surface-level skin with fine corundum crystals and a mildly abrasive instrument. There is no anesthesia or downtime required to enjoy the benefits, which will last for months. The low cost and safe nature of this skin treatment has made it a popular lunch break treatment in Tampa Bay.Save money and look your best with  Dr. David Halpern’s long list of quick fixes for the face. Contact the office at **",Treat Yourself To A Fresh Face With Our Winter Special,"Blog,Injectables,IPL Treatments,News,Specials","December 22, 2016",
 135 +1,Debating Dysport For A Less Furrowed Brow? Check Out This Tampa Bay FL Deal,"Blog,News,Specials","March 2, 2015",
" 90Why should beautiful breasts be a thing of the past? , cares for a number of mature women who are looking for a body boost well into their 50s and 60s. Though the media fixates on the 20-something-year-old vixen going from an A-cup to DDs that stereotype does not fit the majority of Dr. David Halpern’s my patients.Most of his patients are in their thirties and forties, but he is seeing a growing number of mature women inquiring about breast augmentation. TheAmerican Society of Plastic Surgeons states that women over 55 account for 2% of , with nearly 7,000 procedures performed on mature women a year. Close to a quarter of all cosmetic surgery patients are 55+.Close to a quarter of all cosmetic surgery patients are 55+. Here are 10 reasons why you should consider breast augmentation after 50.Click To TweetIf you have taken care of yourself, you may find that you feel better than ever during the golden years. With fewer obligations nagging at you and more time for yourself, you may have more leisure time than ever. Why let the perils of aging pull you down? Diet and exercise can only take you so far. Even with a trim waistline, you may feel like the toll of motherhood, time and gravity have caused sagging, wrinkling and loss of shape. You’ve sacrificed enough. Let new breasts take years off your appearance.Traumatic accidents and lumpectomies can hurt the self-confidence of women over fifty. You may have beat the illness, but it may feel hard to face your reflection every day when you are left missing a part of yourself. Breast implants can be done at the same time as a mastectomy so you can feel healed sooner, rather than later.  The middle years of life can be tough on women due to childbearing, overworking, and stress. It can take years to figure out the best individual path to losing 10, 20, 30 or more pounds. Once you get there, the results can be disappointing – particularly if you lose volume in the breast along with those shed pounds or if you are left with saggy skin. Cosmetic surgery can help with those concerns.With no children living at home and no more breastfeeding to do, now is the perfect time to get the full-figured shape you’ve always wanted. Nothing is holding you back. If you are retired, you will be able to take as much recovery time as you want, without guilt.Skilled plastic surgeons are not only using saline and silicone implants, but they are also using fat transfers from the patient’s own body, when appropriate. In older patients, they are able to combine augmentation with a lift for breasts that are larger and shapelier – but also uplifted, perkier and younger. Sometimes a lift is all that is needed to achieve the desired outcome.Implants are a long-lasting cosmetic improvement, but younger patients may need to replace their implants later in life. The first 10 years are the best years for an implant. Dr. David Halpern likes to see his patients periodically after that to be sure the outer shell has not started to deteriorate or leak. Ruptures are extremely rare, but the risk increases after 25 years.Except for the case of reconstructive breast surgery, insurance does not cover the cost of breast implants. Older women typically have better access to financial resources to spend on elective surgery, whether it’s from savings, a CareCredit account, retirement income, or another source. Once the kids are out of college, there are fewer demands on a mother’s income as well. Dr. David Halpern’s office works with all patients prior to surgery to find the most affordable payment method.Life has a way of throwing a real curveball at you, just when you think you’ve hit your stride. You may be considering a late-stage career change and want to look as lively as you feel. Or you may suddenly find yourself re-entering the dating market after becoming widowed or divorced. Breast implants can help you feel more confident that you’re the total package. You may have felt that your clothes never quite fit right due to the size of your breasts. That is one of the primary reasons women seek out implants, according to  of real breast implant patients. What kind of a grandmother do you want to be? One who looks smart in the latest fashions while she’s out with the grandkids? Or one who is trapped in stereotypical sweatpants and velour tracksuits?As we get older, we become more certain of what we want in life. You may have always struggled with your self-confidence or grappled with varying emotions regarding your physical appearance. It’s never too late to modify your body to align with that lively, fierce woman inside and let your inner goddess roar.Fill out the form below to contact Dr. David Halpern, a , for information regarding .** +1",10 Reasons To Get Breast Implants After 50,"Breast,Plastic Surgery Trends","January 5, 2017,March 31, 2017 / 4:46 pm",
" 97 is committed to helping people live more rewarding and productive lives with a quick procedure that alleviates carpal tunnel syndrome suffering.What Is Carpal Tunnel Syndrome?The “carpal tunnel” is a narrow canal in the wrist, formed by the carpal bones on the sides and a strong ligament on top. A rope of tendons and the median nerve passes through the space, connecting the forearm muscles to the hand bones. It’s this structure that allows our thumb and fingers to bend and straighten. Carpal tunnel syndrome occurs when the tendons swell and put pressure on the nerve. Symptoms Of Carpal Tunnel SyndromeCarpal tunnel causes:PainNumbness Burning, and Weakness in the hands and wrist. Mild cases feel more like soreness, while more severe cases can feel like “burning” or “constant pins and needles.”Who Gets Carpal Tunnel Syndrome?Women are 3x more likely to get carpal tunnel syndrome than men.Carpal tunnel typically only affects adults, usually in their 40s and 50s.People with diabetes and metabolic syndromes are at an increased risk.It is especially common among assemblers, cleaners, seamstresses, meat-packers, and office workers.It has been estimated that carpal tunnel syndrome affects 4-10 million Americans.   Carpal Tunnel TreatmentsPhysicians usually tell individuals suffering from carpal tunnel syndrome to rest and avoid the repetitive motions that caused the overuse injury in the first place. Anti-inflammatories and direct application of ice may be used to take down swelling. Strength training exercises overseen by a physical therapist may be recommended. A doctor can inject corticosteroids into the wrist to provide immediate pain relief, but this does not address the root cause.Carpal tunnel release surgery is one of the most common surgeries in the United States – recommended for anyone whose symptoms last more than six months. Benefits of Endoscopic Carpal Tunnel Release The  was introduced in 2013 as a minimally invasive approach to relieve carpal tunnel syndrome symptoms. Unlike the traditional “open release” surgery, which requires the use of many different tools, this system has micro tools attached to one device. Dr. David Halpern makes a tiny incision and inserts the disposable tool, which includes a tiny endoscopic camera, a scope-mounted blade, and a cannula attached to a revolver tab handle he uses intuitively to take the necessary actions. This advanced system allows the best possible visualization of the hand anatomy for more accuracy. Additional benefits of Stratos Endoscopic Carpal Tunnel Release include:The Stratos system has a clinical success rate of 98%.The smaller the incision, the less risk of infection and scarring.Wounds are closed using adhesive and a modest dressing, rather than stitches.– Surgical relief of carpal tunnel immediately resolves the root cause of trouble.The risk of nerve damage is less than 1% for endoscopic carpal tunnel release.Can be done using local anesthetic, rather than general, in less than an hour. You can take comfort knowing the surgeon is using the latest technology. – Patients are advised to avoid heavy lifting for 4-6 weeks, but most people are using their affected hand(s) the same day and return to work in 7-14 days.Your hands are one of the most important parts of your body. Naturally, you want the most qualified person working on your carpal tunnel.  is a highly regarded plastic surgeon in Tampa Bay, Florida who possesses three board certifications – in plastic surgery, general surgery, and . He has been part of the elite “Hand Call Team” at Tampa General Hospital for over 15 years. In addition to his general and plastic surgery training, he completed his intensive, one-year Hand and Microsurgery Fellowship at the renowned Columbia-Presbyterian Hospital from 1995-1996. He has spent the past two decades working on complex hand and wrist reconstructions. You are in good hands with Dr. David Halpern! Contact  at  orto schedule a one-on-one consultation.** +1",Breakthrough Carpal Tunnel Relief Offered By Dr. David Halpern,"Blog,News","March 15, 2017",
"Unfortunately, there are certain cosmetic issues that can’t be resolved through diet and exercise alone, including small or sagging breasts. Triple-board-certified plastic surgeon Dr. David Halpern in Tampa, Florida, is offering a Spring Special to help lift and shape your breasts — just in time for bikini season!Over the years, you may have noticed that your breasts have lost their shape and have started to sag. Or maybe your breasts have always been small and you dream of filling out that bikini. If you’re not very happy with your breasts, there is little you can do with diet and exercise to boost your confidence. Fortunately, a breast augmentation, , or a combination of the two are perfect solutions for shaping and filling out your breasts.Whether you’re unhappy with your breasts from a , , or just from aging, a breast lift may be the procedure you need to restore your confidence. A breast lift restores youthful shape to sagging or uneven breasts, reshapes the breast contour, and improves skin firmness. If you have lost volume or have always had smaller breasts and want a fuller look, a breast augmentation may be the solution for you. A breast augmentation enlarges and reshapes your breasts, making them more full and refined. If your breasts are asymmetrical, an augmentation will certainly help with that as well. By restoring lost volume and giving you a fuller look, a breast augmentation will enhance your body image and give you the confidence you’ve always wanted.If you are looking for a breast augmentation and/or breast lift, look no further than Dr. David Halpern in Tampa, Florida. Dr. David Halpern is board certified in Plastic and Reconstructive Surgery by the . He has been published in national, peer-reviewed journals and is recognized as an expert in the fields of plastic, cosmetic, and reconstructive surgery. In fact, Dr. David Halpern is currently the Chief of the Department of Plastic Surgery at Tampa General Hospital.Serving the Tampa area since 2001, Dr. David Halpern was recently named Top Plastic Surgeon in Tampa by his peers. Once you enter Dr. David Halpern’s friendly and comfortable facility in Tampa, Florida, you’ll understand why he receives numerous positive patient reviews from past patients. Patient satisfaction is Dr. David Halpern’s number one priority. Past patients praise his calming presence and the remarkable care they receive. Dr. David Halpern understands that each patient has her own unique needs when it comes to her body. During your consultation, Dr. David Halpern will provide you with an individualized plan for your unique situation.There’s no better time to take advantage of Dr. David Halpern’s Spring Special! Right now, you can  And best of all, you’ll be ready to step into bikini season with confidence! Get the body you’ve always dreamed of. Fill out the form below or call us at  to learn more about our breast augmentation and breast lift special today. *",Spring Special: $500 Off Breast Augmentation and Breast Lift Through End of March,"Blog,Breast,News,Specials","February 28, 2017",
"A breast augmentation is a great way to get that summer body you’ve always dreamed of. If you want fuller, natural looking breasts, you may want to consider gummy bear round implants. Also known by their official name, Fortunately, Dr. David Halpern is offering is offering a  to help lift and shape your breasts — just in time for bikini season! or Call !Choosing the type of implant for your breast augmentation is incredibly important — it’s really what’s inside the implant that matters. The gummy bear consistency ensures that the implant stays in place, plus, these specific types of implants are much less likely to rupture or bleed overtime.So, what exactly is gummy about the gel? Gummy implants include a highly cohesive gel, which means that the gel has a gummy-like consistency that sticks together and holds it shape. The cohesive gel implants are “form stable” and maintain the shape that they are placed in and resist changes that other previous implants would normally deform from. Although cohesive gel implants have been on the market for many years, the new round shaped implants have been recently introduced to the industry, which is a major step forward in cosmetic augmentation candidates. These implants may be slightly firmer feeling than previous implants, but still feel and look very natural.The best way to describe the feeling of the gummy bear implant is to get your hands on it!75% of women surveyed preferred the look of increased fullness of  vs .Watch the video to learn Melissa’s story.The safety of gummy bear implants is unparalleled. In a recent Baker-Gordon Aesthetic Meeting there was a detailed panel of experts who compared round vs. anatomic implants and found round implants to be just as good as far as results and safer than other implants.  have shown, there is a rare chance that ALCL occurs following implantation of breast implants with textured surfaces rather than those with smooth surfaces like the gummy bear implants.  is Dr. David Halpern’s top priority when for his patients.Gummy implants are approved for women that are at least 18 years old. If your overall health is good and you do not have any unmanaged medical conditions, you’d be a great candidate for breast augmentation surgery. Breast augmentation surgery will boost your confidence and give you back your figure after childbirth or weight loss. Dr. David Halpern places the highest emphases on safety, so you can feel confident coming to our office in Tampa, Florida. As a triple-board certified in plastic and reconstructive surgery, Dr. Halpern has over six years of surgical training and operates in highly esteemed facilities, including Tampa General Hospital.During your consultation, Dr. David Halpern will discuss all of the considerations of receiving breast augmentation surgery and answer any questions you may have.Boost your confidence and get the firmer, fuller breasts you’ve always wanted. Fill out the form below or call us at  to schedule a consultation. *",Get Ready for Bathing Suit Season with Our Gummy Bear Spring Special,"Blog,Breast,News,Specials","March 31, 2017",
